,id,car_model,brand
0,1,Optima,Kia
1,2,Econoline E250,Ford
2,3,Passat,Volkswagen
3,4,Voyager,Chrysler
4,5,XK Series,Jaguar
5,6,Sigma,Mitsubishi
6,7,Caravan,Dodge
7,8,C30,Volvo
8,9,Verona,Suzuki
9,10,Fortwo,Smart
10,11,Defender Ice Edition,Land Rover
11,12,Vision,Eagle
12,13,Aspen,Chrysler
13,14,Truck,Mitsubishi
14,15,Insight,Honda
15,16,Pathfinder,Nissan
16,17,Sonoma,GMC
17,18,Mustang,Ford
18,19,XL7,Suzuki
19,20,Q,Infiniti
20,21,Laser,Ford
21,22,3000GT,Mitsubishi
22,23,C30,Volvo
23,24,Laser,Ford
24,25,Savana 3500,GMC
25,26,H3T,Hummer
26,27,Mountaineer,Mercury
27,28,Ranger,Ford
28,29,LS,Lexus
29,30,NSX,Acura
30,31,DeVille,Cadillac
31,32,E250,Ford
32,33,S-Class,Mercedes-Benz
33,34,Marquis,Mercury
34,35,Vibe,Pontiac
35,36,Accord,Honda
36,37,E-Series,Ford
37,38,Leone,Subaru
38,39,100,Audi
39,40,Aerostar,Ford
40,41,2e,Aptera
41,42,Town Car,Lincoln
42,43,LR2,Land Rover
43,44,Silhouette,Oldsmobile
44,45,Frontier,Nissan
45,46,Tercel,Toyota
46,47,Camaro,Chevrolet
47,48,Impala,Chevrolet
48,49,Miata MX-5,Mazda
49,50,Town & Country,Chrysler
50,51,Leone,Subaru
51,52,Corvette,Chevrolet
52,53,QX56,Infiniti
53,54,Sierra 1500,GMC
54,55,G-Series 1500,Chevrolet
55,56,Passat,Volkswagen
56,57,Avalanche,Chevrolet
57,58,Ram Van 2500,Dodge
58,59,Mariner,Mercury
59,60,rio,Volkswagen
60,61,B-Series,Mazda
61,62,V40,Volvo
62,63,Gemini,Pontiac
63,64,Topaz,Mercury
64,65,X3,BMW
65,66,Sonoma,GMC
66,67,LaCrosse,Buick
67,68,M,Infiniti
68,69,A6,Audi
69,70,E150,Ford
70,71,Mustang,Ford
71,72,DeVille,Cadillac
72,73,Tacoma Xtra,Toyota
73,74,Sephia,Kia
74,75,Leone,Subaru
75,76,Sonata,Hyundai
76,77,Camry,Toyota
77,78,Land Cruiser,Toyota
78,79,HHR,Chevrolet
